No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
445	0.444	-0.608558597921864	-42.2290037112193
446	0.445	-0.561678313179585	-42.81412216677
447	0.446	-0.452290982048118	-43.3211068143839
448	0.447	-0.389783935645607	-43.7421442732307
449	0.448	-0.327276889212716	-44.1006746856599
450	0.449	-0.249143081128791	-44.3888846708306
451	0.45	-0.155382511365144	-44.5911474670776
452	0.451	-0.108502226457515	-44.7230898359889
453	0.452	0.0321386283688831	-44.7612716350333
454	0.453	0.0790189133456018	-44.705692864176
455	0.454	0.219659768379859	-44.5563535233133
456	0.455	0.329047100181448	-44.2820000890326
457	0.456	0.422807670372763	-43.9060727037555
458	0.457	0.563448525791149	-43.4129446056736
459	0.458	0.610328810965752	-42.8260559372951
460	0.459	0.704089381367817	-42.1688468411283
461	0.46	0.829103475347159	-41.4022504127709
462	0.461	0.875983760621884	-40.5497067947863
463	0.462	0.985371092998649	-39.6190293679761
464	0.463	1.09475842547236	-38.5789646087406
465	0.464	1.17289223444169	-37.4451392787835
466	0.465	1.20414575804334	-36.256620282541
467	0.466	1.29790632889612	-35.0055942390713
468	0.467	1.32915985252967	-33.6920611483584
469	0.468	1.42292042347834	-32.3160210103544
470	0.469	1.48542747081751	-30.8618470632065
471	0.47	1.50105423265733	-29.368606211469
472	0.471	1.51668099449914	-27.8597385978908
473	0.472	1.51668099449914	-26.3430576033917
474	0.473	1.56356128003666	-24.8029364661237
475	0.474	1.6260683274482	-23.2081216623813
476	0.475	1.61044156559229	-21.5898667158611
477	0.476	1.5948148037384	-19.9872385311957
478	0.477	1.56356128003666	-18.4080504893082
479	0.478	1.51668099449914	-16.8679293520403
480	0.479	1.48542747081751	-15.366875119382
481	0.48	1.48542747081751	-13.8814476485644
482	0.481	1.45417394714391	-12.4116469395837
483	0.482	1.36041337617122	-11.0043532779262
484	0.483	1.3135330907119	-9.6673800444846
485	0.484	1.29790632889612	-8.36166033468059
486	0.485	1.20414575804334	-7.11063429121086
487	0.486	1.141638710848	-5.93774205676518
488	0.487	1.06350490189853	-4.83517025039192
489	0.488	1.00099785477466	-3.80291887205532
490	0.489	0.92286404591436	-2.84098792171081
491	0.49	0.92286404591436	-1.91812387579645
492	0.491	0.84473023710343	-1.03432673428755
493	0.492	0.813476713592857	-0.205223258939407
494	0.493	0.704089381367817	0.55355978854093
495	0.494	0.594702049238928	1.2029555038443
496	0.495	0.54782176407019	1.77421741049886
497	0.496	0.54782176407019	2.32203917456905
498	0.497	0.391554146967884	2.79172713008809
499	0.498	0.344673861875144	3.1598411345096
500	0.499	0.26654005342606	3.46544809216021
501	0.5	0.219659768379859	3.70854800306316
502	0.501	0.125899198339654	3.88132748642292
503	0.502	0.0321386283688831	3.96034639977719
504	0.503	-0.0772487031761889	3.93779136237354
505	0.504	-0.139755749731181	3.82928913591985
506	0.505	-0.264769842749386	3.62702633967957
507	0.506	-0.34290365082379	3.32318959289298
508	0.507	-0.452290982048118	2.92559227645703
509	0.508	-0.592931836342992	2.40298086726147
510	0.509	-0.62418535949885	1.79442226934055
511	0.51	-0.733572690485022	1.11554324434861
512	0.511	-0.811706498275905	0.342903649968151
513	0.512	-0.94673148478513	0.342903649968151
514	0.513	-1.04049205396033	-0.650708119404578
515	0.514	-1.04049205396033	-1.69120017336491
516	0.515	-1.14987938458013	-2.78638589263514
517	0.516	-1.21238643060779	-3.96751880022909
518	0.517	-1.32177376108501	-5.23459889607549
519	0.518	-1.36865404554758	-6.57981279939179
520	0.519	-1.38428080703142	-7.95628022568129
521	0.52	-1.46241461442305	-9.37962793640853
522	0.521	-1.52492166030331	-10.8732960737717
523	0.522	-1.52492166030331	-12.398217734075
524	0.523	-1.55617518323245	-13.9387661558429
525	0.524	-1.5405484217688	-15.4871279583435
526	0.525	-1.58742870615427	-17.051116522305
527	0.526	-1.55617518323245	-18.6229184669984
528	0.527	-1.5405484217688	-20.171280269499
529	0.528	-1.55617518323245	-21.7196420719997
530	0.529	-1.49366813736685	-23.2445637322993
531	0.53	-1.43116109147191	-24.7069783467187
532	0.531	-1.38428080703142	-26.1146992959703
533	0.532	-1.3530272840619	-27.483353341517
534	0.533	-1.32177376108501	-28.8207538640905
535	0.534	-1.21238643060779	-30.0878339599369
536	0.535	-1.14987938458013	-31.2689668675308
537	0.536	-1.14987938458013	-32.4188462521109
538	0.537	-1.05611881548302	-33.5218453521425
539	0.538	-0.977985007850981	-34.5388972638095
540	0.539	-0.94673148478513	-35.5012555101276
541	0.54	-0.868597677087845	-36.408920091064
542	0.541	-0.774837107789394	-37.2306374835027
543	0.542	-0.774837107789394	-38.0054745912921
544	0.543	-0.696703299989125	-38.7412447951813
545	0.544	-0.571689207410905	-39.3754410488813
546	0.545	-0.571689207410905	-39.9471302562922
547	0.546	-0.49355539948822	-40.4797525597418
548	0.547	-0.415421591518248	-40.934241055245
549	0.548	-0.352914545108147	-41.3184091235582
550	0.549	-0.212273690574202	-41.6010032413994
551	0.55	-0.165393405695246	-41.7898367895341
552	0.551	-0.040379312600564	-41.892723148682
553	0.552	0.0690080189579518	-41.8784087955033
554	0.553	0.115888303940446	-41.7859606340541
555	0.554	0.209648873957484	-41.6231920451052
556	0.555	0.350289729113535	-41.3432227435697
557	0.556	0.381543252502868	-40.9773062527615
558	0.557	0.522184107851118	-40.5254425725845
559	0.558	0.584691154723236	-39.9720049412973
560	0.559	0.740958772040444	-39.3091799779154
561	0.56	0.819092580772611	-38.5291543015089
562	0.561	0.975360198384638	-37.6319279119303
563	0.562	1.03786724548475	-36.6253141899956
564	0.563	1.08474753083062	-35.5640068018379
565	0.564	1.16288133978009	-34.4401923665326
566	0.565	1.28789543420264	-33.2148039795412
567	0.566	1.31914895782821	-31.9112817835258
568	0.567	1.38165600510331	-30.56087930206
569	0.568	1.45978981424221	-29.1401563923873
570	0.569	1.5066700997496	-27.6569264353913
571	0.57	1.55355038527506	-26.126816192879
572	0.571	1.58480390896875	-24.5576390457571
573	0.572	1.58480390896875	-22.9728351367884
574	0.573	1.63168419452438	-21.3645910850418
575	0.574	1.63168419452438	-19.7329068905174
576	0.575	1.60043067081861	-18.1168494578459
577	0.576	1.63168419452438	-16.5007920251744
578	0.577	1.55355038527506	-14.9081747352747
579	0.578	1.53792362343123	-13.3624377309216
580	0.579	1.52229686158941	-11.8323274884112
581	0.58	1.475416576076	-10.3334707695785
582	0.581	1.38165600510331	-8.90493447898887
583	0.582	1.41290952875286	-7.50765171206078
584	0.583	1.33477571964398	-6.13380908786236
585	0.584	1.28789543420264	-4.82247351093905
586	0.585	1.22538838697543	-3.56583160035001
587	0.586	1.14725457798622	-2.37951011786918
588	0.587	1.08474753083062	-1.26350906346076
589	0.588	1.03786724548475	-0.202201675303079
